,Category,Message
4982,not-spam,I said its okay. Sorry
4983,not-spam,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous
4984,not-spam,Networking job is there.
4985,spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
4986,not-spam,Dont let studying stress you out. L8r.
4987,not-spam,That's y u haf 2 keep me busy...
4988,not-spam,No rushing. I'm not working. I'm in school so if we rush we go hungry.
4989,not-spam,Which channel:-):-):):-).
4990,not-spam,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
4991,spam,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
4992,not-spam,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx"
4993,not-spam,I'm hungry buy smth home...
4994,not-spam,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."
4995,not-spam,My drive can only be read. I need to write
4996,not-spam,"Just looked it up and addie goes back Monday, sucks to be her"
4997,not-spam,Happy new year. Hope you are having a good semester
4998,not-spam,Esplanade lor. Where else...
4999,not-spam,Can you talk with me..
5000,not-spam,"Hmph. Go head, big baller."
5001,not-spam,Well its not like you actually called someone a punto. That woulda been worse.
5002,not-spam,"Nope. Since ayo travelled, he has forgotten his guy"
5003,not-spam,You still around? Looking to pick up later
5004,spam,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
5005,not-spam,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
5006,not-spam,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is!
5007,not-spam,ILL B DOWN SOON
5008,not-spam,Oh k. . I will come tomorrow
5009,not-spam,Go fool dont cheat others ok
5010,not-spam,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
5011,not-spam,"By the way, 'rencontre' is to meet again. Mountains dont...."
5012,spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
5013,not-spam,U attend ur driving lesson how many times a wk n which day?
5014,not-spam,"Uncle G, just checking up on you. Do have a rewarding month"
5015,not-spam,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
5016,not-spam,I think the other two still need to get cash but we can def be ready by 9
5017,not-spam,Hey gals...U all wanna meet 4 dinner at nìte?
5018,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
5019,not-spam,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
5020,not-spam,Great! How is the office today?
5021,not-spam,"It's cool, we can last a little while. Getting more any time soon?"
5022,not-spam,:-( sad puppy noise
5023,not-spam,Yes its possible but dint try. Pls dont tell to any one k
5024,not-spam,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
5025,not-spam,Where you. What happen
5026,not-spam,I was gonna ask you lol but i think its at 7
5027,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
5028,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
5029,not-spam,Go chase after her and run her over while she's crossing the street
5030,spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
5031,not-spam,Is there coming friday is leave for pongal?do you get any news from your work place.
5032,not-spam,Hey... Very inconvenient for your sis a not huh?
5033,not-spam,Ok i vl..do u know i got adsense approved..
5034,not-spam,"* Was really good to see you the other day dudette, been missing you!"
5035,not-spam,I want to go to perumbavoor
5036,not-spam,How many times i told in the stage all use to laugh. You not listen aha.
5037,spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
5038,not-spam,(You didn't hear it from me)
5039,not-spam,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.
5040,not-spam,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
5041,spam,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
5042,not-spam,She ran off with a younger man. we will make pretty babies together :)
5043,spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
5044,not-spam,O ic lol. Should play 9 doors sometime yo
5045,not-spam,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
5046,not-spam,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
5047,not-spam,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
5048,not-spam,Hmmm.still we dont have opener?
5049,not-spam,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
5050,not-spam,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
5051,not-spam,I will vote for wherever my heart guides me
5052,not-spam,With my sis lor... We juz watched italian job.
5053,not-spam,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
5054,not-spam,Lmao you know me so well...
5055,spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
5056,not-spam,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
5057,not-spam,Goodnight da thangam I really miss u dear.
5058,not-spam,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
5059,not-spam,"Geeeee ... Your internet is really bad today, eh ?"
5060,spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
5061,not-spam,I think i am disturbing her da
5062,not-spam,"Sorry, I'll call you  later. I am in meeting sir."
5063,not-spam,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
5064,not-spam,Ok i also wan 2 watch e 9 pm show...
5065,not-spam,I dunno lei... Like dun haf...
5066,not-spam,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.
5067,not-spam,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
5068,spam,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541
5069,not-spam,Talk to g and x about that
5070,not-spam,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
5071,spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
5072,not-spam,As in different styles?
5073,spam,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.
5074,not-spam,Gud ni8 dear..slp well..take care..swt dreams..Muah..
5075,not-spam,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
5076,spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921"
5077,not-spam,"Well, i'm glad you didn't find it totally disagreeable ... Lol"
5078,not-spam,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
5079,spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
5080,not-spam,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
5081,not-spam,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U"""
5082,not-spam,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
5083,not-spam,Aiya we discuss later lar... Pick ü up at 4 is it?
5084,not-spam,Hey happy birthday...
5085,not-spam,Sorry i missed your call. Can you please call back.
5086,not-spam,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
5087,not-spam,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
5088,not-spam,I wont do anything de.
5089,not-spam,What type of stuff do you sing?
5090,not-spam,"St andre, virgil's cream"
5091,not-spam,No no. I will check all rooms befor activities
5092,not-spam,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
5093,not-spam,Gokila is talking with you aha:)
5094,not-spam,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
5095,not-spam,K.k.this month kotees birthday know?
5096,not-spam,But i'm really really broke oh. No amount is too small even  &lt;#&gt;
5097,not-spam,Sorry about that this is my mates phone and i didnt write it love Kate
5098,spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
5099,not-spam,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
5100,not-spam,"Aight, call me once you're close"
5101,not-spam,Nope thats fine. I might have a nap tho!
5102,spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
5103,not-spam,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
5104,not-spam,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"
5105,not-spam,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
5106,not-spam,Ding me on ya break fassyole! Blacko from londn
5107,not-spam,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
5108,not-spam,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
5109,not-spam,Oh you got many responsibilities.
5110,spam,You have 1 new message. Please call 08715205273
5111,not-spam,I've reached sch already...
5112,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906
5113,not-spam,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
5114,not-spam,Argh why the fuck is nobody in town ;_;
5115,spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply."
5116,not-spam,Thanks. Fills me with complete calm and reassurance!
5117,not-spam,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
5118,not-spam,Are you driving or training?
5119,not-spam,Lol for real. She told my dad I have cancer
5120,spam,PRIVATE! Your 2003 Account Statement for 078
5121,not-spam,"Oops I did have it,  &lt;#&gt; ?"
5122,not-spam,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?
5123,not-spam,"Hi Chikku, send some nice msgs"
5124,not-spam,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
5125,not-spam,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
5126,not-spam,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
5127,not-spam,Cuz ibored. And don wanna study
5128,not-spam,Wot about on wed nite I am 3 then but only til 9!
5129,not-spam,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
5130,not-spam,Any way where are you and what doing.
5131,not-spam,That sucks. I'll go over so u can do my hair. You'll do it free right?
5132,not-spam,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;
5133,not-spam,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
5134,not-spam,Sday only joined.so training we started today:)
5135,not-spam,Sorry * was at the grocers.
5136,not-spam,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
5137,spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
5138,not-spam,Yup... I havent been there before... You want to go for the yoga? I can call up to book
5139,not-spam,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
5140,not-spam,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
5141,spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
5142,not-spam,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
5143,not-spam,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
5144,not-spam,I'm in office now da:)where are you?
5145,not-spam,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
5146,not-spam,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
5147,spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
5148,not-spam,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
5149,not-spam,Pls call me da. What happen.
5150,not-spam,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
5151,not-spam,No problem with the renewal. I.ll do it right away but i dont know his details.
5152,not-spam,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
5153,not-spam,Haven't left yet so probably gonna be here til dinner
5154,not-spam,"Like  &lt;#&gt; , same question"
5155,not-spam,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
5156,not-spam,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
5157,not-spam,K k:) sms chat with me.
5158,not-spam,I will come with karnan car. Please wait till 6pm will directly goto doctor.
5159,not-spam,No but the bluray player can
5160,not-spam,Ok... Then r we meeting later?
5161,not-spam,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
5162,not-spam,Just send a text. We'll skype later.
5163,not-spam,Ok leave no need to ask
5164,spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
5165,not-spam,Ü still got lessons?  Ü in sch?
5166,not-spam,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
5167,not-spam,Oh did you charge camera
5168,not-spam,"I‘ve got some salt, you can rub it in my open wounds if you like!"
5169,not-spam,Now i'm going for lunch.
5170,not-spam,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.
5171,not-spam,Oh k. . I will come tomorrow
5172,not-spam,"Aight, text me tonight and we'll see what's up"
5173,not-spam,U 2.
5174,not-spam,Water logging in desert. Geoenvironmental implications.
5175,not-spam,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
5176,not-spam,Company is very good.environment is terrific and food is really nice:)
5177,not-spam,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u"
5178,spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
5179,not-spam,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please"
5180,not-spam,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
5181,not-spam,K sure am in my relatives home. Sms me de. Pls:-)
5182,not-spam,I sent them. Do you like?
5183,not-spam,"Fuuuuck I need to stop sleepin, sup"
5184,not-spam,I'm in town now so i'll jus take mrt down later.
5185,not-spam,I just cooked a rather nice salmon a la you
5186,not-spam,I uploaded mine to Facebook
5187,not-spam,WHAT TIME U WRKIN?
5188,not-spam,Okie
5189,spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
5190,spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
5191,not-spam,"Sorry, I'll call later"
5192,not-spam,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
5193,not-spam,"It's wylie, you in tampa or sarasota?"
5194,not-spam,Ok... Take ur time n enjoy ur dinner...
5195,not-spam,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
5196,spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
5197,not-spam,I like cheap! But i‘m happy to splash out on the wine if it makes you feel better..
5198,not-spam,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
5199,not-spam,Ugh my leg hurts. Musta overdid it on mon.
5200,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
5201,spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
5202,not-spam,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
5203,not-spam,Me fine..absolutly fine
5204,not-spam,How come she can get it? Should b quite diff to guess rite...
5205,spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
5206,not-spam,I will reach ur home in  &lt;#&gt;  minutes
5207,not-spam,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
5208,not-spam,Hi.what you think about match?
5209,not-spam,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
5210,not-spam,Dai i downloaded but there is only exe file which i can only run that exe after installing.
5211,not-spam,It is only yesterday true true.
5212,not-spam,K.k.how is your business now?
5213,not-spam,3 pa but not selected.
5214,spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
5215,not-spam,I keep ten rs in my shelf:) buy two egg.
5216,not-spam,I am late. I will be there at
5217,not-spam,Well thats nice. Too bad i cant eat it
5218,not-spam,I accidentally brought em home in the box
5219,not-spam,Pls she needs to dat slowly or she will vomit more.
5220,not-spam,I have to take exam with in march 3
5221,not-spam,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
5222,not-spam,5 nights...We nt staying at port step liao...Too ex
5223,not-spam,If I die I want u to have all my stuffs.
5224,not-spam,OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX
5225,not-spam,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
5226,not-spam,Prabha..i'm soryda..realy..frm heart i'm sory
5227,not-spam,I re-met alex nichols from middle school and it turns out he's dealing!
5228,spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
5229,not-spam,It means u could not keep ur words.
5230,not-spam,"Nope, I'm still in the market"
5231,not-spam,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
5232,spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
5233,not-spam,Hey what how about your project. Started aha da.
5234,not-spam,Ok cool. See ya then.
5235,not-spam,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
5236,not-spam,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
5237,spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch
5238,not-spam,Yeah I can still give you a ride
5239,not-spam,"Jay wants to work out first, how's 4 sound?"
5240,not-spam,"Gud gud..k, chikku tke care.. sleep well gud nyt"
5241,not-spam,Its a part of checking IQ
5242,not-spam,Hmm thinking lor...
5243,not-spam,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
5244,not-spam,thanks for the temales it was wonderful. Thank. Have a great week.
5245,not-spam,Thank you princess! I want to see your nice juicy booty...
5246,not-spam,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
5247,not-spam,Gud ni8 dear..slp well..take care..swt dreams..Muah..
5248,not-spam,U come n search tat vid..not finishd..
5249,not-spam,"K I'm leaving soon, be there a little after 9"
5250,spam,Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
5251,not-spam,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
5252,not-spam,You do your studies alone without anyones help. If you cant no need to study.
5253,not-spam,Please tell me not all of my car keys are in your purse
5254,not-spam,I didnt get anything da
5255,not-spam,Ok... Sweet dreams...
5256,not-spam,Well she's in for a big surprise!
5257,not-spam,"As usual..iam fine, happy &amp; doing well..:)"
5258,not-spam,1 in cbe. 2 in chennai.
5259,not-spam,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
5260,not-spam,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
5261,not-spam,I absolutely LOVE South Park! I only recently started watching the office.
5262,not-spam,Did you see that film:)
5263,not-spam,Pls speak with me. I wont ask anything other then you friendship.
5264,not-spam,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
5265,not-spam,Gud ni8.swt drms.take care
5266,not-spam,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
5267,not-spam,Anything lar then ü not going home 4 dinner?
5268,not-spam,"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx"
5269,spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
5270,not-spam,Did u fix the teeth?if not do it asap.ok take care.
5271,not-spam,So u wan 2 come for our dinner tonight a not?
5272,not-spam,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
5273,not-spam,Its too late:)but its k.wish you the same.
5274,not-spam,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
5275,not-spam,Oh yeah clearly it's my fault
5276,not-spam,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
5277,not-spam,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
5278,spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm
5279,not-spam,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
5280,not-spam,"Vikky, come around  &lt;TIME&gt; .."
5281,not-spam,"And how you will do that, princess? :)"
5282,not-spam,I have gone into get info bt dont know what to do
5283,not-spam,"Yeah, probably here for a while"
5284,not-spam,Sent me ur email id soon
5285,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
5286,not-spam,I'm still pretty weak today .. Bad day ?
5287,not-spam,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
5288,not-spam,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-)
5289,not-spam,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
5290,not-spam,Dear where you. Call me
5291,not-spam,Xy trying smth now. U eat already? We havent...
5292,spam,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
5293,not-spam,I donno its in your genes or something
5294,spam,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription
5295,not-spam,Alex says he's not ok with you not being ok with it
5296,not-spam,Are u coming to the funeral home
5297,not-spam,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
5298,not-spam,I.ll hand her my phone to chat wit u
5299,not-spam,Well good morning mr . Hows london treatin' ya treacle?
5300,not-spam,I can't make it tonight
5301,not-spam,At WHAT TIME should i come tomorrow
5302,not-spam,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.
5303,not-spam,"I can. But it will tell quite long, cos i haven't finish my film yet..."
5304,not-spam,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.
5305,not-spam,Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?
5306,not-spam,Ill be at yours in about 3 mins but look out for me
5307,not-spam,What you did in  leave.
